question_text,subject,topic,avg_score,correct_percentage,num_students_attempted,num_students_correct,time_taken_minutes,bloom_level,difficulty
Justify the use of Algorithms over alternative methods.,Computer Science,Algorithms,55.53,0.56,2817.0,1564.0,7.9,Evaluate,Moderate
Demonstrate the use of Operating Systems in solving a standard Computer Science problem.,Computer Science,Operating Systems,51.42,0.51,1237.0,636.0,7.8,Apply,Medium
How does Punctuation affect the global economy or environment? - Perspective 662,English,Punctuation,22.66,0.23,1566.0,360.0,8.0,Apply,Easy
Explain how Classical Mechanics functions in modern applications.,Physics,Classical Mechanics,61.82,0.62,1669.0,1031.0,8.9,Understand,Moderate
Summarize the key findings related to Machine Learning.,Computer Science,Machine Learning,82.64,0.83,1088.0,899.0,4.4,Understand,Easy
Discuss the ethical challenges associated with Arithmetic.,Mathematics,Arithmetic,94.06,0.98,2296.0,2250.0,1.0,Remember,Easy
Solve a comprehensive problem involving the core principles of Rotational motion.,Physics,Rotational motion,39.89,0.44,721.0,317.0,10.0,Evaluate,Hard
Recall the definition of Algorithms in the context of Computer Science.,Computer Science,Algorithms,62.97,0.63,1167.0,734.0,6.2,Remember,Moderate
Deconstruct the arguments surrounding Econometrics in contemporary literature.,Economics,Econometrics,68.46,0.68,1459.0,998.0,7.4,Analyze,Medium
Formulate a hypothesis regarding the future trajectory of Ecology.,Biology,Ecology,87.02,0.87,1928.0,1677.0,2.7,Create,Easy
Use the standard model of Physiology to predict future states.,Biology,Physiology,52.5,0.52,1777.0,932.0,10.1,Apply,Moderate
A student performs an experiment on C++ Programming. What observations would they record?,Computer Science,C++ Programming,54.5,0.55,331.0,180.0,7.0,Apply,Medium
Describe the mechanism behind Microeconomics.,Economics,Microeconomics,68.36,0.68,850.0,581.0,11.4,Understand,Moderate
What is meant by Probability? Give one example.,Mathematics,Probability,79.7,0.8,324.0,258.0,3.0,Remember,Easy
Explain the step-by-step mechanism of Urban Planning. - Perspective 177,Social Science,Urban Planning,50.36,0.53,1660.0,879.0,1.0,Apply,Moderate
Discuss the foundational theories of Electromagnetism.,Physics,Electromagnetism,43.08,0.43,1292.0,556.0,8.2,Understand,Moderate
Use the standard model of Discrete Math to predict future states.,Mathematics,Discrete Math,26.46,0.26,1485.0,392.0,22.0,Apply,Hard
List the main components of Physiology.,Biology,Physiology,64.07,0.64,2145.0,1374.0,6.6,Remember,Moderate
Explain the step-by-step mechanism of Protein synthesis.,Biology,Protein synthesis,56.91,0.59,772.0,455.0,9.0,Understand,Hard
Explain the process of Boolean Algebra with the help of a labeled diagram.,Computer Science,Boolean Algebra,49.2,0.49,479.0,235.0,5.0,Apply,Medium
Apply the concepts of Genetics to a real-world scenario.,Biology,Genetics,60.05,0.6,821.0,492.0,11.9,Apply,Moderate
Deconstruct the arguments surrounding Calculus in contemporary literature.,Mathematics,Calculus,71.59,0.72,875.0,626.0,11.3,Analyze,Moderate
Formulate a hypothesis regarding the future trajectory of Genetics.,Biology,Genetics,46.62,0.47,1737.0,809.0,6.7,Create,Medium
Use the standard model of Linear Algebra to predict future states.,Mathematics,Linear Algebra,48.37,0.48,1727.0,835.0,7.2,Apply,Moderate
Describe the mechanism behind Physiology.,Biology,Physiology,88.52,0.89,2419.0,2141.0,1.0,Understand,Easy
List the main components of Operating Systems.,Computer Science,Operating Systems,65.66,0.66,2014.0,1322.0,5.6,Remember,Medium
State the primary theorem in Thermodynamics.,Physics,Thermodynamics,25.17,0.25,842.0,211.0,14.5,Remember,Hard
List the main components of Optimization.,Mathematics,Optimization,40.91,0.41,1470.0,601.0,5.2,Remember,Moderate
Explain how Probability functions in modern applications.,Mathematics,Probability,51.84,0.52,1225.0,635.0,8.3,Understand,Moderate
Examine the underlying metrics of Ecology.,Biology,Ecology,46.96,0.47,2438.0,1144.0,8.2,Analyze,Moderate
Design a novel experiment to further test the boundaries of Macroeconomics.,Economics,Macroeconomics,27.9,0.28,1327.0,370.0,18.0,Create,Hard
Differentiate between the theoretical and practical aspects of Game Theory.,Economics,Game Theory,17.51,0.18,1062.0,186.0,21.7,Analyze,Hard
A student performs an experiment on Globalization and the Indian Economy. What observations would they record?,Economics,Globalization and the Indian Economy,64.4,0.64,579.0,373.0,5.0,Apply,Medium
Design a novel experiment to further test the boundaries of Optimization.,Mathematics,Optimization,21.4,0.21,1775.0,379.0,16.0,Create,Hard
Use the standard model of Quantum Mechanics to predict future states.,Physics,Quantum Mechanics,61.68,0.62,2043.0,1260.0,5.5,Apply,Medium
Explain how Algorithms functions in modern applications.,Computer Science,Algorithms,59.61,0.6,1293.0,770.0,8.2,Understand,Moderate
Identify the key characteristics of Econometrics.,Economics,Econometrics,57.8,0.58,1485.0,858.0,6.6,Remember,Moderate
Differentiate between the theoretical and practical aspects of Optimization.,Mathematics,Optimization,72.56,0.73,1056.0,766.0,5.0,Analyze,Moderate
Summarize the key findings related to Algorithms.,Computer Science,Algorithms,87.35,0.87,857.0,748.0,4.1,Understand,Easy
Evaluate the impact of Game Theory on current technological advancements.,Economics,Game Theory,64.05,0.64,1177.0,753.0,10.3,Evaluate,Medium
Propose a new architecture integrating Machine Learning.,Computer Science,Machine Learning,62.57,0.63,1581.0,989.0,10.6,Create,Medium
Compare and contrast the primary approaches to Optimization.,Mathematics,Optimization,26.69,0.27,1819.0,485.0,12.2,Analyze,Hard
Explain how Linear Algebra functions in modern applications.,Mathematics,Linear Algebra,83.49,0.83,1085.0,905.0,3.3,Understand,Easy
Describe the mechanism behind Linear Algebra.,Mathematics,Linear Algebra,94.78,0.95,1717.0,1627.0,2.0,Understand,Easy
State the primary theorem in Electromagnetism.,Physics,Electromagnetism,44.25,0.44,1384.0,612.0,10.8,Remember,Moderate
Synthesize a new framework combining Networking with external disciplines.,Computer Science,Networking,71.07,0.71,1631.0,1159.0,10.0,Create,Medium
Interpret the significance of Game Theory in Economics.,Economics,Game Theory,85.51,0.86,1428.0,1221.0,2.2,Understand,Easy
Execute a procedure based on Electromagnetism guidelines.,Physics,Electromagnetism,48.17,0.48,1174.0,565.0,9.4,Apply,Medium
Examine the underlying metrics of Operating Systems.,Computer Science,Operating Systems,67.74,0.68,1644.0,1113.0,5.5,Analyze,Moderate
Differentiate between the theoretical and practical aspects of Optimization.,Mathematics,Optimization,57.83,0.58,1322.0,764.0,9.3,Analyze,Medium
Examine the underlying metrics of Macroeconomics.,Economics,Macroeconomics,51.27,0.51,1376.0,705.0,11.5,Analyze,Medium
Apply the concepts of Optics to a real-world scenario.,Physics,Optics,48.84,0.49,1533.0,748.0,5.2,Apply,Moderate
"Differentiate between Python Lists and Tuples and its alternative, giving three points of distinction.",Computer Science,Python Lists and Tuples,69.0,0.69,553.0,381.0,8.0,Analyze,Medium
Define the core principles of Public Finance.,Economics,Public Finance,50.95,0.51,831.0,423.0,7.3,Remember,Moderate
Discuss the foundational theories of Physiology.,Biology,Physiology,48.89,0.49,1002.0,489.0,6.9,Understand,Moderate
Calculate the expected outcome using principles of Econometrics.,Economics,Econometrics,49.88,0.5,2455.0,1224.0,6.9,Apply,Medium
Demonstrate the use of Ecology in solving a standard Biology problem.,Biology,Ecology,63.83,0.64,1313.0,838.0,11.3,Apply,Moderate
Synthesize a new framework combining Algorithms with external disciplines.,Computer Science,Algorithms,83.91,0.84,1674.0,1404.0,2.4,Create,Easy
Analyze the impact of The Age of Industrialisation on the Indian economy over the last decade.,History,The Age of Industrialisation,31.4,0.31,550.0,172.0,14.0,Evaluate,Hard
Execute a procedure based on Calculus guidelines.,Mathematics,Calculus,44.93,0.45,1056.0,474.0,8.8,Apply,Medium
Apply the concepts of Electromagnetism to a real-world scenario.,Physics,Electromagnetism,72.8,0.73,1766.0,1285.0,10.3,Apply,Medium
Synthesize a new framework combining Operating Systems with external disciplines.,Computer Science,Operating Systems,37.89,0.38,782.0,296.0,20.8,Create,Hard
Design a novel experiment to further test the boundaries of Cell Biology.,Biology,Cell Biology,28.07,0.28,2822.0,792.0,25.0,Create,Hard
State the primary theorem in Electromagnetism.,Physics,Electromagnetism,31.14,0.31,1424.0,443.0,14.7,Remember,Hard
Recall the definition of Thermodynamics in the context of Physics.,Physics,Thermodynamics,88.89,0.89,1382.0,1228.0,2.7,Remember,Easy
Recall the definition of Optics in the context of Physics.,Physics,Optics,45.45,0.45,1598.0,726.0,5.5,Remember,Moderate
Synthesize a new framework combining Macroeconomics with external disciplines.,Economics,Macroeconomics,69.03,0.69,1361.0,939.0,5.7,Create,Moderate
Use the standard model of Genetics to predict future states.,Biology,Genetics,86.83,0.87,1085.0,942.0,4.7,Apply,Easy
Discuss the foundational theories of Operating Systems.,Computer Science,Operating Systems,67.54,0.68,1646.0,1111.0,7.8,Understand,Medium
Apply the concepts of Microeconomics to a real-world scenario.,Economics,Microeconomics,16.03,0.16,1974.0,316.0,12.0,Apply,Hard
Evaluate the impact of Trigonometry on society today. - Perspective 467,Mathematics,Trigonometry,83.35,0.86,2407.0,2070.0,12.0,Remember,Easy
Assess the validity of the dominant theory in Machine Learning.,Computer Science,Machine Learning,60.22,0.6,1487.0,895.0,6.6,Evaluate,Medium
Compare and contrast the primary approaches to Genetics.,Biology,Genetics,70.42,0.7,1820.0,1281.0,8.6,Analyze,Medium
Execute a procedure based on Calculus guidelines.,Mathematics,Calculus,64.75,0.65,1678.0,1086.0,10.7,Apply,Moderate
Execute a procedure based on Cell Biology guidelines.,Biology,Cell Biology,12.65,0.13,1336.0,168.0,15.4,Apply,Hard
Summarize the key findings related to Evolution.,Biology,Evolution,54.54,0.55,2396.0,1306.0,6.8,Understand,Moderate
Evaluate the impact of Electromagnetism on current technological advancements.,Physics,Electromagnetism,54.43,0.54,1191.0,648.0,8.4,Evaluate,Medium
Describe a real-world application of Energy Sources in industry or daily life.,Science,Energy Sources,65.63,0.62,1947.0,1207.0,16.0,Evaluate,Medium
List the main components of Algorithms.,Computer Science,Algorithms,50.24,0.5,2412.0,1211.0,5.2,Remember,Medium
Define the core principles of Discrete Math.,Mathematics,Discrete Math,59.11,0.59,1439.0,850.0,10.6,Remember,Medium
List the main components of Electromagnetism.,Physics,Electromagnetism,68.42,0.68,796.0,544.0,10.6,Remember,Moderate
Define the core principles of Calculus.,Mathematics,Calculus,95.76,0.96,457.0,437.0,3.6,Remember,Easy
Identify the key characteristics of Discrete Math.,Mathematics,Discrete Math,91.36,0.91,1643.0,1501.0,4.5,Remember,Easy
Define the core principles of Genetics.,Biology,Genetics,52.81,0.53,2186.0,1154.0,7.7,Remember,Moderate
Define the core principles of Calculus.,Mathematics,Calculus,51.97,0.52,2130.0,1106.0,11.9,Remember,Moderate
Evaluate the impact of Evolution on current technological advancements.,Biology,Evolution,51.74,0.52,1307.0,676.0,10.2,Evaluate,Medium
Interpret the significance of Optimization in Mathematics.,Mathematics,Optimization,97.76,0.98,1453.0,1420.0,2.4,Understand,Easy
Use the standard model of Probability to predict future states.,Mathematics,Probability,66.56,0.67,2454.0,1633.0,10.4,Apply,Moderate
Summarize the key findings related to Microeconomics.,Economics,Microeconomics,23.84,0.24,1541.0,367.0,23.3,Understand,Hard
Evaluate the impact of Quantum Mechanics on current technological advancements.,Physics,Quantum Mechanics,18.85,0.19,990.0,186.0,18.1,Evaluate,Hard
Demonstrate the use of Calculus in solving a standard Mathematics problem.,Mathematics,Calculus,54.77,0.55,2044.0,1119.0,5.1,Apply,Medium
Summarize the key findings related to Optics.,Physics,Optics,97.01,0.97,828.0,803.0,4.0,Understand,Easy
Design a novel experiment to further test the boundaries of Optics.,Physics,Optics,28.4,0.28,1474.0,418.0,20.6,Create,Hard
Critique a major study or paper regarding Civil Rights Movement.,History,Civil Rights Movement,47.13,0.51,1876.0,956.0,8.0,Apply,Medium
Describe a real-world application of Algebra in industry or daily life. - Perspective 618,Maths,Algebra,29.77,0.27,1426.0,385.0,8.0,Understand,Moderate
Analyze the relationship between Thermodynamics and related phenomena.,Physics,Thermodynamics,56.59,0.57,1648.0,932.0,6.7,Analyze,Moderate
Examine the underlying metrics of Evolution.,Biology,Evolution,36.18,0.36,1658.0,599.0,16.3,Analyze,Hard
Compare and contrast the primary approaches to Discrete Math.,Mathematics,Discrete Math,93.92,0.94,1412.0,1326.0,2.4,Analyze,Easy
Summarize the key findings related to Ecology.,Biology,Ecology,56.58,0.57,751.0,424.0,9.8,Understand,Moderate
List the main components of Optimization.,Mathematics,Optimization,46.71,0.47,395.0,184.0,8.5,Remember,Moderate
Explain how Physiology functions in modern applications.,Biology,Physiology,58.0,0.58,1239.0,718.0,6.8,Understand,Moderate
Execute a procedure based on Physiology guidelines.,Biology,Physiology,39.21,0.39,1092.0,428.0,17.3,Apply,Hard
Propose a solution to a common challenge in Exchange Rates. - Perspective 546,Economics,Exchange Rates,32.64,0.33,326.0,107.0,14.0,Evaluate,Easy
Justify the use of Public Finance over alternative methods.,Economics,Public Finance,76.81,0.77,1003.0,770.0,1.6,Evaluate,Easy
Use the standard model of Operating Systems to predict future states.,Computer Science,Operating Systems,50.61,0.51,1040.0,526.0,5.7,Apply,Medium
Evaluate the impact of Econometrics on current technological advancements.,Economics,Econometrics,14.23,0.14,2383.0,339.0,24.8,Evaluate,Hard
State the primary theorem in Physiology.,Biology,Physiology,52.14,0.52,1938.0,1010.0,7.7,Remember,Moderate
Interpret the significance of Operating Systems in Computer Science.,Computer Science,Operating Systems,90.4,0.9,817.0,738.0,2.3,Understand,Easy
List the main components of Electromagnetism.,Physics,Electromagnetism,93.77,0.94,1972.0,1849.0,1.3,Remember,Easy
Apply the concepts of Algorithms to a real-world scenario.,Computer Science,Algorithms,74.59,0.75,912.0,680.0,8.4,Apply,Medium
Evaluate the impact of Genetics on current technological advancements.,Biology,Genetics,12.27,0.12,817.0,100.0,16.5,Evaluate,Hard
Demonstrate the use of Thermodynamics in solving a standard Physics problem.,Physics,Thermodynamics,49.84,0.5,1006.0,501.0,10.6,Apply,Medium
State the primary theorem in Machine Learning.,Computer Science,Machine Learning,40.16,0.4,1478.0,593.0,7.2,Remember,Moderate
Evaluate the impact of Thermodynamics on current technological advancements.,Physics,Thermodynamics,45.13,0.45,1875.0,846.0,8.2,Evaluate,Moderate
Describe the mechanism behind Econometrics.,Economics,Econometrics,93.6,0.94,1850.0,1731.0,3.3,Understand,Easy
Evaluate the impact of Cell Biology on current technological advancements.,Biology,Cell Biology,61.68,0.62,50.0,30.0,9.6,Evaluate,Moderate
Use the standard model of Networking to predict future states.,Computer Science,Networking,47.85,0.48,823.0,393.0,10.5,Apply,Moderate
Execute a procedure based on Optimization guidelines.,Mathematics,Optimization,63.01,0.63,1699.0,1070.0,11.5,Apply,Medium
Interpret the significance of Classical Mechanics in Physics.,Physics,Classical Mechanics,48.49,0.48,1807.0,876.0,10.1,Understand,Moderate
Interpret the significance of Public Finance in Economics.,Economics,Public Finance,77.13,0.77,1449.0,1117.0,2.7,Understand,Easy
